"LOCATION","SUBJECT","MEASURE","FREQUENCY","TIME","Unit Code","PowerCode Code","Reference Period Code","Value","Flag Codes"
"KOR","CPALTT01","GY","Q","1969-Q1","PC","0",,10.92132,
"KOR","CPALTT01","GY","Q","1969-Q2","PC","0",,11.38794,
"KOR","CPALTT01","GY","Q","1969-Q3","PC","0",,12.51037,
"KOR","CPALTT01","GY","Q","1969-Q4","PC","0",,14.59453,
"KOR","CPALTT01","GY","Q","1970-Q1","PC","0",,16.49738,
"KOR","CPALTT01","GY","Q","1970-Q2","PC","0",,17.71174,
"KOR","CPALTT01","GY","Q","1970-Q3","PC","0",,15.80499,
"KOR","CPALTT01","GY","Q","1970-Q4","PC","0",,13.97037,
"KOR","CPALTT01","GY","Q","1971-Q1","PC","0",,15.74556,
"KOR","CPALTT01","GY","Q","1971-Q2","PC","0",,12.75006,
"KOR","CPALTT01","GY","Q","1971-Q3","PC","0",,15.00273,
"KOR","CPALTT01","GY","Q","1971-Q4","PC","0",,10.75003,
"KOR","CPALTT01","GY","Q","1972-Q1","PC","0",,9.124413,
"KOR","CPALTT01","GY","Q","1972-Q2","PC","0",,13.27648,
"KOR","CPALTT01","GY","Q","1972-Q3","PC","0",,13.76502,
"KOR","CPALTT01","GY","Q","1972-Q4","PC","0",,10.57512,
"KOR","CPALTT01","GY","Q","1973-Q1","PC","0",,4.891446,
"KOR","CPALTT01","GY","Q","1973-Q2","PC","0",,1.890966,
"KOR","CPALTT01","GY","Q","1973-Q3","PC","0",,0.7436236,
"KOR","CPALTT01","GY","Q","1973-Q4","PC","0",,5.470049,
"KOR","CPALTT01","GY","Q","1974-Q1","PC","0",,17.9245,
"KOR","CPALTT01","GY","Q","1974-Q2","PC","0",,23.95476,
"KOR","CPALTT01","GY","Q","1974-Q3","PC","0",,27.6628,
"KOR","CPALTT01","GY","Q","1974-Q4","PC","0",,27.42125,
"KOR","CPALTT01","GY","Q","1975-Q1","PC","0",,21.85784,
"KOR","CPALTT01","GY","Q","1975-Q2","PC","0",,23.9696,
"KOR","CPALTT01","GY","Q","1975-Q3","PC","0",,26.43737,
"KOR","CPALTT01","GY","Q","1975-Q4","PC","0",,28.26001,
"KOR","CPALTT01","GY","Q","1976-Q1","PC","0",,22.38883,
"KOR","CPALTT01","GY","Q","1976-Q2","PC","0",,17.06317,
"KOR","CPALTT01","GY","Q","1976-Q3","PC","0",,13.8791,
"KOR","CPALTT01","GY","Q","1976-Q4","PC","0",,9.267812,
"KOR","CPALTT01","GY","Q","1977-Q1","PC","0",,10.50154,
"KOR","CPALTT01","GY","Q","1977-Q2","PC","0",,9.927587,
"KOR","CPALTT01","GY","Q","1977-Q3","PC","0",,9.434812,
"KOR","CPALTT01","GY","Q","1977-Q4","PC","0",,10.54441,
"KOR","CPALTT01","GY","Q","1978-Q1","PC","0",,13.05915,
"KOR","CPALTT01","GY","Q","1978-Q2","PC","0",,13.28623,
"KOR","CPALTT01","GY","Q","1978-Q3","PC","0",,14.60905,
"KOR","CPALTT01","GY","Q","1978-Q4","PC","0",,16.74739,
"KOR","CPALTT01","GY","Q","1979-Q1","PC","0",,15.36554,
"KOR","CPALTT01","GY","Q","1979-Q2","PC","0",,20.23916,
"KOR","CPALTT01","GY","Q","1979-Q3","PC","0",,18.31688,
"KOR","CPALTT01","GY","Q","1979-Q4","PC","0",,19.2198,
"KOR","CPALTT01","GY","Q","1980-Q1","PC","0",,26.88926,
"KOR","CPALTT01","GY","Q","1980-Q2","PC","0",,26.76573,
"KOR","CPALTT01","GY","Q","1980-Q3","PC","0",,28.80518,
"KOR","CPALTT01","GY","Q","1980-Q4","PC","0",,31.98989,
"KOR","CPALTT01","GY","Q","1981-Q1","PC","0",,25.05445,
"KOR","CPALTT01","GY","Q","1981-Q2","PC","0",,22.3029,
"KOR","CPALTT01","GY","Q","1981-Q3","PC","0",,22.62058,
"KOR","CPALTT01","GY","Q","1981-Q4","PC","0",,16.18427,
"KOR","CPALTT01","GY","Q","1982-Q1","PC","0",,11.79958,
"KOR","CPALTT01","GY","Q","1982-Q2","PC","0",,8.35234,
"KOR","CPALTT01","GY","Q","1982-Q3","PC","0",,4.758016,
"KOR","CPALTT01","GY","Q","1982-Q4","PC","0",,4.335953,
"KOR","CPALTT01","GY","Q","1983-Q1","PC","0",,5.067036,
"KOR","CPALTT01","GY","Q","1983-Q2","PC","0",,3.699089,
"KOR","CPALTT01","GY","Q","1983-Q3","PC","0",,2.561751,
"KOR","CPALTT01","GY","Q","1983-Q4","PC","0",,2.40677,
"KOR","CPALTT01","GY","Q","1984-Q1","PC","0",,1.939552,
"KOR","CPALTT01","GY","Q","1984-Q2","PC","0",,2.155954,
"KOR","CPALTT01","GY","Q","1984-Q3","PC","0",,2.350969,
"KOR","CPALTT01","GY","Q","1984-Q4","PC","0",,2.647521,
"KOR","CPALTT01","GY","Q","1985-Q1","PC","0",,1.902649,
"KOR","CPALTT01","GY","Q","1985-Q2","PC","0",,2.257287,
"KOR","CPALTT01","GY","Q","1985-Q3","PC","0",,2.728696,
"KOR","CPALTT01","GY","Q","1985-Q4","PC","0",,2.940749,
"KOR","CPALTT01","GY","Q","1986-Q1","PC","0",,3.610254,
"KOR","CPALTT01","GY","Q","1986-Q2","PC","0",,3.242606,
"KOR","CPALTT01","GY","Q","1986-Q3","PC","0",,2.71929,
"KOR","CPALTT01","GY","Q","1986-Q4","PC","0",,1.452699,
"KOR","CPALTT01","GY","Q","1987-Q1","PC","0",,0.8140603,
"KOR","CPALTT01","GY","Q","1987-Q2","PC","0",,2.429438,
"KOR","CPALTT01","GY","Q","1987-Q3","PC","0",,3.48765,
"KOR","CPALTT01","GY","Q","1987-Q4","PC","0",,5.464846,
"KOR","CPALTT01","GY","Q","1988-Q1","PC","0",,7.493064,
"KOR","CPALTT01","GY","Q","1988-Q2","PC","0",,7.207998,
"KOR","CPALTT01","GY","Q","1988-Q3","PC","0",,7.082903,
"KOR","CPALTT01","GY","Q","1988-Q4","PC","0",,6.816849,
"KOR","CPALTT01","GY","Q","1989-Q1","PC","0",,5.589049,
"KOR","CPALTT01","GY","Q","1989-Q2","PC","0",,5.603024,
"KOR","CPALTT01","GY","Q","1989-Q3","PC","0",,5.65313,
"KOR","CPALTT01","GY","Q","1989-Q4","PC","0",,5.948664,
"KOR","CPALTT01","GY","Q","1990-Q1","PC","0",,7.64333,
"KOR","CPALTT01","GY","Q","1990-Q2","PC","0",,8.755422,
