"LOCATION","SUBJECT","MEASURE","FREQUENCY","TIME","Unit Code","PowerCode Code","Reference Period Code","Value","Flag Codes"
"KOR","B1_GE","GYSA","Q","1969-Q1","PC","0",,10.337125,
"KOR","B1_GE","GYSA","Q","1969-Q2","PC","0",,12.367117,
"KOR","B1_GE","GYSA","Q","1969-Q3","PC","0",,15.562035,
"KOR","B1_GE","GYSA","Q","1969-Q4","PC","0",,19.602981,
"KOR","B1_GE","GYSA","Q","1970-Q1","PC","0",,12.088319,
"KOR","B1_GE","GYSA","Q","1970-Q2","PC","0",,12.570871,
"KOR","B1_GE","GYSA","Q","1970-Q3","PC","0",,5.093564,
"KOR","B1_GE","GYSA","Q","1970-Q4","PC","0",,10.618885,
"KOR","B1_GE","GYSA","Q","1971-Q1","PC","0",,13.433933,
"KOR","B1_GE","GYSA","Q","1971-Q2","PC","0",,12.182152,
"KOR","B1_GE","GYSA","Q","1971-Q3","PC","0",,11.994019,
"KOR","B1_GE","GYSA","Q","1971-Q4","PC","0",,4.784282,
"KOR","B1_GE","GYSA","Q","1972-Q1","PC","0",,5.69885,
"KOR","B1_GE","GYSA","Q","1972-Q2","PC","0",,5.308059,
"KOR","B1_GE","GYSA","Q","1972-Q3","PC","0",,6.844113,
"KOR","B1_GE","GYSA","Q","1972-Q4","PC","0",,10.673849,
"KOR","B1_GE","GYSA","Q","1973-Q1","PC","0",,12.779838,
"KOR","B1_GE","GYSA","Q","1973-Q2","PC","0",,13.952911,
"KOR","B1_GE","GYSA","Q","1973-Q3","PC","0",,17.750961,
"KOR","B1_GE","GYSA","Q","1973-Q4","PC","0",,14.730966,
"KOR","B1_GE","GYSA","Q","1974-Q1","PC","0",,15.763658,
"KOR","B1_GE","GYSA","Q","1974-Q2","PC","0",,10.655523,
"KOR","B1_GE","GYSA","Q","1974-Q3","PC","0",,7.005632,
"KOR","B1_GE","GYSA","Q","1974-Q4","PC","0",,5.069597,
"KOR","B1_GE","GYSA","Q","1975-Q1","PC","0",,2.439597,
"KOR","B1_GE","GYSA","Q","1975-Q2","PC","0",,7.596833,
"KOR","B1_GE","GYSA","Q","1975-Q3","PC","0",,8.914474,
"KOR","B1_GE","GYSA","Q","1975-Q4","PC","0",,12.46604,
"KOR","B1_GE","GYSA","Q","1976-Q1","PC","0",,13.784104,
"KOR","B1_GE","GYSA","Q","1976-Q2","PC","0",,14.301922,
"KOR","B1_GE","GYSA","Q","1976-Q3","PC","0",,13.47658,
"KOR","B1_GE","GYSA","Q","1976-Q4","PC","0",,11.040669,
"KOR","B1_GE","GYSA","Q","1977-Q1","PC","0",,9.020162,
"KOR","B1_GE","GYSA","Q","1977-Q2","PC","0",,9.412629,
"KOR","B1_GE","GYSA","Q","1977-Q3","PC","0",,13.600166,
"KOR","B1_GE","GYSA","Q","1977-Q4","PC","0",,16.768896,
"KOR","B1_GE","GYSA","Q","1978-Q1","PC","0",,14.536449,
"KOR","B1_GE","GYSA","Q","1978-Q2","PC","0",,12.485788,
"KOR","B1_GE","GYSA","Q","1978-Q3","PC","0",,7.802233,
"KOR","B1_GE","GYSA","Q","1978-Q4","PC","0",,8.824997,
"KOR","B1_GE","GYSA","Q","1979-Q1","PC","0",,14.823663,
"KOR","B1_GE","GYSA","Q","1979-Q2","PC","0",,12.100013,
"KOR","B1_GE","GYSA","Q","1979-Q3","PC","0",,7.368067,
"KOR","B1_GE","GYSA","Q","1979-Q4","PC","0",,0.912308,
"KOR","B1_GE","GYSA","Q","1980-Q1","PC","0",,-2.811476,
"KOR","B1_GE","GYSA","Q","1980-Q2","PC","0",,-3.957535,
"KOR","B1_GE","GYSA","Q","1980-Q3","PC","0",,0.578657,
"KOR","B1_GE","GYSA","Q","1980-Q4","PC","0",,-0.511173,
"KOR","B1_GE","GYSA","Q","1981-Q1","PC","0",,2.729918,
"KOR","B1_GE","GYSA","Q","1981-Q2","PC","0",,5.644863,
"KOR","B1_GE","GYSA","Q","1981-Q3","PC","0",,7.861931,
"KOR","B1_GE","GYSA","Q","1981-Q4","PC","0",,12.537697,
"KOR","B1_GE","GYSA","Q","1982-Q1","PC","0",,8.987146,
"KOR","B1_GE","GYSA","Q","1982-Q2","PC","0",,8.803094,
"KOR","B1_GE","GYSA","Q","1982-Q3","PC","0",,6.822501,
"KOR","B1_GE","GYSA","Q","1982-Q4","PC","0",,8.508071,
"KOR","B1_GE","GYSA","Q","1983-Q1","PC","0",,12.487667,
"KOR","B1_GE","GYSA","Q","1983-Q2","PC","0",,13.16577,
"KOR","B1_GE","GYSA","Q","1983-Q3","PC","0",,15.047352,
"KOR","B1_GE","GYSA","Q","1983-Q4","PC","0",,12.266042,
"KOR","B1_GE","GYSA","Q","1984-Q1","PC","0",,12.15724,
"KOR","B1_GE","GYSA","Q","1984-Q2","PC","0",,11.650916,
"KOR","B1_GE","GYSA","Q","1984-Q3","PC","0",,9.166721,
"KOR","B1_GE","GYSA","Q","1984-Q4","PC","0",,8.959231,
"KOR","B1_GE","GYSA","Q","1985-Q1","PC","0",,7.012901,
"KOR","B1_GE","GYSA","Q","1985-Q2","PC","0",,7.15254,
"KOR","B1_GE","GYSA","Q","1985-Q3","PC","0",,7.087171,
"KOR","B1_GE","GYSA","Q","1985-Q4","PC","0",,9.699632,
"KOR","B1_GE","GYSA","Q","1986-Q1","PC","0",,8.564919,
"KOR","B1_GE","GYSA","Q","1986-Q2","PC","0",,10.359564,
"KOR","B1_GE","GYSA","Q","1986-Q3","PC","0",,13.803921,
"KOR","B1_GE","GYSA","Q","1986-Q4","PC","0",,12.031937,
"KOR","B1_GE","GYSA","Q","1987-Q1","PC","0",,13.264167,
"KOR","B1_GE","GYSA","Q","1987-Q2","PC","0",,14.475487,
"KOR","B1_GE","GYSA","Q","1987-Q3","PC","0",,10.888797,
"KOR","B1_GE","GYSA","Q","1987-Q4","PC","0",,11.409832,
"KOR","B1_GE","GYSA","Q","1988-Q1","PC","0",,16.359731,
"KOR","B1_GE","GYSA","Q","1988-Q2","PC","0",,8.404761,
"KOR","B1_GE","GYSA","Q","1988-Q3","PC","0",,11.159141,
"KOR","B1_GE","GYSA","Q","1988-Q4","PC","0",,11.922897,
"KOR","B1_GE","GYSA","Q","1989-Q1","PC","0",,4.372643,
"KOR","B1_GE","GYSA","Q","1989-Q2","PC","0",,7.99661,
"KOR","B1_GE","GYSA","Q","1989-Q3","PC","0",,7.363919,
"KOR","B1_GE","GYSA","Q","1989-Q4","PC","0",,8.341095,
"KOR","B1_GE","GYSA","Q","1990-Q1","PC","0",,9.727322,
"KOR","B1_GE","GYSA","Q","1990-Q2","PC","0",,10.154359,
"KOR","B1_GE","GYSA","Q","1990-Q3","PC","0",,10.718355,
"KOR","B1_GE","GYSA","Q","1990-Q4","PC","0",,8.691061,
"KOR","B1_GE","GYSA","Q","1991-Q1","PC","0",,11.286461,
"KOR","B1_GE","GYSA","Q","1991-Q2","PC","0",,10.939722,
"KOR","B1_GE","GYSA","Q","1991-Q3","PC","0",,9.234795,
"KOR","B1_GE","GYSA","Q","1991-Q4","PC","0",,10.032413,
"KOR","B1_GE","GYSA","Q","1992-Q1","PC","0",,8.233123,
"KOR","B1_GE","GYSA","Q","1992-Q2","PC","0",,7.404195,
"KOR","B1_GE","GYSA","Q","1992-Q3","PC","0",,4.997152,
"KOR","B1_GE","GYSA","Q","1992-Q4","PC","0",,4.215187,
"KOR","B1_GE","GYSA","Q","1993-Q1","PC","0",,4.269253,
"KOR","B1_GE","GYSA","Q","1993-Q2","PC","0",,6.359211,
"KOR","B1_GE","GYSA","Q","1993-Q3","PC","0",,8.102617,
"KOR","B1_GE","GYSA","Q","1993-Q4","PC","0",,8.61151,
"KOR","B1_GE","GYSA","Q","1994-Q1","PC","0",,9.535556,
"KOR","B1_GE","GYSA","Q","1994-Q2","PC","0",,8.572412,
"KOR","B1_GE","GYSA","Q","1994-Q3","PC","0",,8.272665,
"KOR","B1_GE","GYSA","Q","1994-Q4","PC","0",,10.422461,
"KOR","B1_GE","GYSA","Q","1995-Q1","PC","0",,9.735534,
"KOR","B1_GE","GYSA","Q","1995-Q2","PC","0",,10.019854,
"KOR","B1_GE","GYSA","Q","1995-Q3","PC","0",,10.520961,
"KOR","B1_GE","GYSA","Q","1995-Q4","PC","0",,8.077902,
"KOR","B1_GE","GYSA","Q","1996-Q1","PC","0",,7.923353,
"KOR","B1_GE","GYSA","Q","1996-Q2","PC","0",,7.69772,
"KOR","B1_GE","GYSA","Q","1996-Q3","PC","0",,7.556751,
"KOR","B1_GE","GYSA","Q","1996-Q4","PC","0",,7.221075,
"KOR","B1_GE","GYSA","Q","1997-Q1","PC","0",,5.673031,
"KOR","B1_GE","GYSA","Q","1997-Q2","PC","0",,7.360806,
"KOR","B1_GE","GYSA","Q","1997-Q3","PC","0",,6.40678,
"KOR","B1_GE","GYSA","Q","1997-Q4","PC","0",,4.287281,
