"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"KOR","HOUSECOST","REAL","IDX2015","Q","1986-Q1",132.45903866544,
"KOR","HOUSECOST","REAL","IDX2015","Q","1986-Q2",130.431797227326,
"KOR","HOUSECOST","REAL","IDX2015","Q","1986-Q3",128.61576163991,
"KOR","HOUSECOST","REAL","IDX2015","Q","1986-Q4",129.85934748752,
"KOR","HOUSECOST","REAL","IDX2015","Q","1987-Q1",125.610857033262,
"KOR","HOUSECOST","REAL","IDX2015","Q","1987-Q2",123.816958550057,
"KOR","HOUSECOST","REAL","IDX2015","Q","1987-Q3",124.587520109153,
"KOR","HOUSECOST","REAL","IDX2015","Q","1987-Q4",130.571459666517,
"KOR","HOUSECOST","REAL","IDX2015","Q","1988-Q1",133.110177990149,
"KOR","HOUSECOST","REAL","IDX2015","Q","1988-Q2",137.437594925611,
"KOR","HOUSECOST","REAL","IDX2015","Q","1988-Q3",141.679699595698,
"KOR","HOUSECOST","REAL","IDX2015","Q","1988-Q4",140.240239685086,
"KOR","HOUSECOST","REAL","IDX2015","Q","1989-Q1",144.066788201709,
"KOR","HOUSECOST","REAL","IDX2015","Q","1989-Q2",150.425786496738,
"KOR","HOUSECOST","REAL","IDX2015","Q","1989-Q3",150.34928931538,
"KOR","HOUSECOST","REAL","IDX2015","Q","1989-Q4",149.370173485237,
"KOR","HOUSECOST","REAL","IDX2015","Q","1990-Q1",153.954865516239,
"KOR","HOUSECOST","REAL","IDX2015","Q","1990-Q2",158.853220341606,
"KOR","HOUSECOST","REAL","IDX2015","Q","1990-Q3",160.190186240326,
"KOR","HOUSECOST","REAL","IDX2015","Q","1990-Q4",164.165860990314,
"KOR","HOUSECOST","REAL","IDX2015","Q","1991-Q1",162.200066189653,
"KOR","HOUSECOST","REAL","IDX2015","Q","1991-Q2",162.424055248594,
"KOR","HOUSECOST","REAL","IDX2015","Q","1991-Q3",158.319779892174,
"KOR","HOUSECOST","REAL","IDX2015","Q","1991-Q4",150.55473840512,
"KOR","HOUSECOST","REAL","IDX2015","Q","1992-Q1",143.805356168746,
"KOR","HOUSECOST","REAL","IDX2015","Q","1992-Q2",137.111341463085,
"KOR","HOUSECOST","REAL","IDX2015","Q","1992-Q3",133.572689690098,
"KOR","HOUSECOST","REAL","IDX2015","Q","1992-Q4",131.977360776272,
"KOR","HOUSECOST","REAL","IDX2015","Q","1993-Q1",128.738569124067,
"KOR","HOUSECOST","REAL","IDX2015","Q","1993-Q2",124.908807827029,
"KOR","HOUSECOST","REAL","IDX2015","Q","1993-Q3",122.201287660249,
"KOR","HOUSECOST","REAL","IDX2015","Q","1993-Q4",118.732115392883,
"KOR","HOUSECOST","REAL","IDX2015","Q","1994-Q1",113.737409457603,
"KOR","HOUSECOST","REAL","IDX2015","Q","1994-Q2",111.40468025138,
"KOR","HOUSECOST","REAL","IDX2015","Q","1994-Q3",109.474106792315,
"KOR","HOUSECOST","REAL","IDX2015","Q","1994-Q4",108.665170814396,
"KOR","HOUSECOST","REAL","IDX2015","Q","1995-Q1",106.761210474257,
"KOR","HOUSECOST","REAL","IDX2015","Q","1995-Q2",104.894287137075,
"KOR","HOUSECOST","REAL","IDX2015","Q","1995-Q3",102.800510063595,
"KOR","HOUSECOST","REAL","IDX2015","Q","1995-Q4",101.72846500659,
"KOR","HOUSECOST","REAL","IDX2015","Q","1996-Q1",100.050717433871,
"KOR","HOUSECOST","REAL","IDX2015","Q","1996-Q2",98.6256849526641,
"KOR","HOUSECOST","REAL","IDX2015","Q","1996-Q3",97.0852863174718,
"KOR","HOUSECOST","REAL","IDX2015","Q","1996-Q4",96.6432968745659,
"KOR","HOUSECOST","REAL","IDX2015","Q","1997-Q1",96.4995875051199,
"KOR","HOUSECOST","REAL","IDX2015","Q","1997-Q2",96.1893960163837,
"KOR","HOUSECOST","REAL","IDX2015","Q","1997-Q3",94.8914614284905,
"KOR","HOUSECOST","REAL","IDX2015","Q","1997-Q4",92.5972134098019,
"KOR","HOUSECOST","REAL","IDX2015","Q","1998-Q1",86.5279564303577,
"KOR","HOUSECOST","REAL","IDX2015","Q","1998-Q2",81.2660383360324,
"KOR","HOUSECOST","REAL","IDX2015","Q","1998-Q3",79.5407358690215,
"KOR","HOUSECOST","REAL","IDX2015","Q","1998-Q4",77.8027589412395,
"KOR","HOUSECOST","REAL","IDX2015","Q","1999-Q1",77.9302072061608,
"KOR","HOUSECOST","REAL","IDX2015","Q","1999-Q2",78.4480246154521,
"KOR","HOUSECOST","REAL","IDX2015","Q","1999-Q3",78.4630977072968,
"KOR","HOUSECOST","REAL","IDX2015","Q","1999-Q4",77.9401845543571,
"KOR","HOUSECOST","REAL","IDX2015","Q","2000-Q1",76.61290688742,
"KOR","HOUSECOST","REAL","IDX2015","Q","2000-Q2",77.7085793705175,
"KOR","HOUSECOST","REAL","IDX2015","Q","2000-Q3",75.894672294273,
"KOR","HOUSECOST","REAL","IDX2015","Q","2000-Q4",74.6899240229177,
"KOR","HOUSECOST","REAL","IDX2015","Q","2001-Q1",73.5210074189403,
"KOR","HOUSECOST","REAL","IDX2015","Q","2001-Q2",74.7499659075658,
"KOR","HOUSECOST","REAL","IDX2015","Q","2001-Q3",76.654736448779,
"KOR","HOUSECOST","REAL","IDX2015","Q","2001-Q4",78.4939834068638,
"KOR","HOUSECOST","REAL","IDX2015","Q","2002-Q1",82.8074607487913,
"KOR","HOUSECOST","REAL","IDX2015","Q","2002-Q2",84.9687804083517,
"KOR","HOUSECOST","REAL","IDX2015","Q","2002-Q3",86.8794100086048,
"KOR","HOUSECOST","REAL","IDX2015","Q","2002-Q4",88.3962180998243,
"KOR","HOUSECOST","REAL","IDX2015","Q","2003-Q1",88.7084031863744,
"KOR","HOUSECOST","REAL","IDX2015","Q","2003-Q2",90.3865021683742,
"KOR","HOUSECOST","REAL","IDX2015","Q","2003-Q3",91.5026467511295,
"KOR","HOUSECOST","REAL","IDX2015","Q","2003-Q4",91.5184211173675,
"KOR","HOUSECOST","REAL","IDX2015","Q","2004-Q1",90.3422381422976,
"KOR","HOUSECOST","REAL","IDX2015","Q","2004-Q2",89.3369880378458,
"KOR","HOUSECOST","REAL","IDX2015","Q","2004-Q3",87.2648376216855,
"KOR","HOUSECOST","REAL","IDX2015","Q","2004-Q4",86.3786573702039,
"KOR","HOUSECOST","REAL","IDX2015","Q","2005-Q1",86.2790635327071,
"KOR","HOUSECOST","REAL","IDX2015","Q","2005-Q2",87.3071228730723,
"KOR","HOUSECOST","REAL","IDX2015","Q","2005-Q3",87.9221072222732,
"KOR","HOUSECOST","REAL","IDX2015","Q","2005-Q4",87.8109360044998,
"KOR","HOUSECOST","REAL","IDX2015","Q","2006-Q1",88.9540871657738,
"KOR","HOUSECOST","REAL","IDX2015","Q","2006-Q2",90.2582468443089,
"KOR","HOUSECOST","REAL","IDX2015","Q","2006-Q3",90.7958543516717,
"KOR","HOUSECOST","REAL","IDX2015","Q","2006-Q4",96.9623376097459,
"KOR","HOUSECOST","REAL","IDX2015","Q","2007-Q1",98.8093220466145,
"KOR","HOUSECOST","REAL","IDX2015","Q","2007-Q2",98.4076424409111,
"KOR","HOUSECOST","REAL","IDX2015","Q","2007-Q3",98.781430165256,
"KOR","HOUSECOST","REAL","IDX2015","Q","2007-Q4",99.9105181756858,
"KOR","HOUSECOST","REAL","IDX2015","Q","2008-Q1",100.561885355569,
"KOR","HOUSECOST","REAL","IDX2015","Q","2008-Q2",101.787314301268,
"KOR","HOUSECOST","REAL","IDX2015","Q","2008-Q3",102.16804807791,
"KOR","HOUSECOST","REAL","IDX2015","Q","2008-Q4",100.957578801108,
"KOR","HOUSECOST","REAL","IDX2015","Q","2009-Q1",99.7234503821131,
"KOR","HOUSECOST","REAL","IDX2015","Q","2009-Q2",99.1161198026911,
"KOR","HOUSECOST","REAL","IDX2015","Q","2009-Q3",99.5370534963881,
"KOR","HOUSECOST","REAL","IDX2015","Q","2009-Q4",100.581423446815,
"KOR","HOUSECOST","REAL","IDX2015","Q","2010-Q1",100.521547998935,
"KOR","HOUSECOST","REAL","IDX2015","Q","2010-Q2",99.5250220657747,
"KOR","HOUSECOST","REAL","IDX2015","Q","2010-Q3",98.6305630976438,
"KOR","HOUSECOST","REAL","IDX2015","Q","2010-Q4",98.9573796800232,
"KOR","HOUSECOST","REAL","IDX2015","Q","2011-Q1",99.961762708864,
"KOR","HOUSECOST","REAL","IDX2015","Q","2011-Q2",100.367872432767,
"KOR","HOUSECOST","REAL","IDX2015","Q","2011-Q3",100.839912294899,
"KOR","HOUSECOST","REAL","IDX2015","Q","2011-Q4",101.139391346411,
"KOR","HOUSECOST","REAL","IDX2015","Q","2012-Q1",101.136544237169,
"KOR","HOUSECOST","REAL","IDX2015","Q","2012-Q2",99.9220414100887,
"KOR","HOUSECOST","REAL","IDX2015","Q","2012-Q3",99.3430123672169,
"KOR","HOUSECOST","REAL","IDX2015","Q","2012-Q4",98.0336418619219,
"KOR","HOUSECOST","REAL","IDX2015","Q","2013-Q1",97.6443883694941,
"KOR","HOUSECOST","REAL","IDX2015","Q","2013-Q2",97.559171421879,
"KOR","HOUSECOST","REAL","IDX2015","Q","2013-Q3",97.501353619407,
